node_name,x_node_name,tag1,tag2,sched,x_sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
x7ti,4,OTAC_big_guided_full,x7ti_OTAC_big_full,OTAC_big,4,guided,2,8,6,0,6,full,18.841958853288364,18.747,19.088,0.026118148820835758,3.9876964972295834,1.148,5.0163,0.29636858969476426,75.13052312642736,21.913024,94.4418801,53.21749912642736,19.311356973572643,5.514049049984637,13.50118462351242,0.239,2253.562,2253.323,0,0,0,0,0.42,36.573800000000006,36.232,36.962,0.3418000000000063,0.38819999999999766,0.730000000000004,0.25509815104517447,0.02923561689338581,0.0
x7ti,4,OTAC_little_guided_half,x7ti_OTAC_little_half,OTAC_little,5,guided,2,4,3,4,0,half,19.01005283926853,18.943,19.057,0.010421263026185132,1.5037475794032724,0.8371,2.3106,0.08455552969393108,28.585753024427333,15.928338799999999,43.825150199999996,12.657414224427335,15.239397175572662,1.5968662891659233,13.50118462351242,0.053,859.511,859.458,0,0,0,0,0.42,14.680700000000002,14.613,14.777,0.06770000000000209,0.09629999999999761,0.1639999999999997,0.05167645068651241,0.027712059850255762,0.0
x7ti,4,OTAC_little_guided_full,x7ti_OTAC_little_full,OTAC_little,5,guided,2,8,6,8,0,full,18.995748049320873,18.902,19.035,0.01310660172640034,1.6854641171370774,1.3219,2.7093,0.13424496789955173,32.015437226808594,25.1478256,51.4008396,6.867611626808593,19.385402373191404,2.5343352565335797,13.50118462351242,0.068,962.167,962.099,0,0,0,0,0.42,25.8053,25.625,25.924,0.18029999999999902,0.11870000000000047,0.2989999999999995,0.10023422569162706,0.017656981419008493,0.0
x7ti,4,OS_R1_os_unknown,x7ti_OS_R1_unknown,OS_R1,6,os,5,0,0,0,0,unknown,18.931779629183723,18.793,19.068,0.049232567213129685,2.6814698097760656,0.7483,4.6047,0.6274798865115006,50.74008465269925,14.260353099999998,86.58677879999999,36.479731552699256,35.84669414730074,11.76649872683558,13.50118462351242,0.177,1523.432,1523.255,37.77,33.89,39.53,1.30,0.42,17.493666666666666,17.212,17.657,0.2816666666666663,0.163333333333334,0.4450000000000003,0.14097348619341107,0.04127967558414755,0.03072784283836056
x7ti,4,OS_R2_os_unknown,x7ti_OS_R2_unknown,OS_R2,7,os,5,0,0,0,0,unknown,18.873248434941733,18.774,19.054,0.02933598006990663,3.5484881681594915,1.1067,4.6524,0.35007559647583714,66.96434759684581,21.057180900000002,87.39250279999999,45.907166696845806,20.428155203154176,6.544381620701541,13.50118462351242,0.099,2011.439,2011.3400000000001,50.99,48.74,52.96,1.00,0.42,16.1702,15.944,16.361,0.2262000000000004,0.19079999999999941,0.4169999999999998,0.1348921262130806,0.05893783595739753,0.044878213009115535
x7ti,4,OS_R3_os_unknown,x7ti_OS_R3_unknown,OS_R3,8,os,5,0,0,0,0,unknown,18.8666818641375,18.737,19.046,0.035465205851735175,3.6509450291271484,0.9547,4.9889,0.4292267292304913,68.87033952902124,18.1832162,93.7563977,50.68712332902123,24.886058170978757,8.009946849964363,13.50118462351242,0.125,2068.256,2068.131,52.59,51.33,53.77,0.57,0.42,14.049266666666666,13.982,14.13,0.06726666666666681,0.08073333333333466,0.14800000000000146,0.04254487826597552,0.0697661091808135,0.05327401762369567
x7ti,4,OS_R1_lavd_unknown,x7ti_OS_R1_unknown,OS_R1,6,lavd,6,0,0,0,0,unknown,18.937545078219014,18.778,19.072,0.04822945538286504,2.5585210060168473,0.878,4.4024,0.6605921127378275,48.42676726182912,16.721510000000002,83.2329484,31.705257261829118,34.80618113817088,12.405438609051304,13.50118462351242,1.622,1454.936,1453.3139999999999,34.33,30.82,37.12,1.38,0.42,16.241933333333336,16.142,16.315,0.0999333333333361,0.07306666666666572,0.17300000000000182,0.05941676851657615,0.0424339724542451,0.030081675005849053
x7ti,4,OS_R2_lavd_unknown,x7ti_OS_R2_unknown,OS_R2,7,lavd,6,0,0,0,0,unknown,18.881057764513333,18.767,19.005,0.02925213029307277,3.4028953066332916,1.7266,4.4502,0.340027443557052,64.24346377827572,32.814032999999995,83.93967239999999,31.42943077827573,19.696208621724267,6.358152641202748,13.50118462351242,0.199,1929.946,1929.7469999999998,38.53,35.64,50.09,3.29,0.42,13.694266666666667,12.929,15.441,0.7652666666666672,1.7467333333333332,2.5120000000000005,0.7206775053147328,0.06676611451695746,0.04004295909723777
x7ti,4,OS_R3_lavd_unknown,x7ti_OS_R3_unknown,OS_R3,8,lavd,6,0,0,0,0,unknown,18.89845368319692,18.758,19.046,0.052813889698845665,3.1350745064997594,1.29,4.9003,0.6965904291887887,59.21820311974482,24.51774,91.92472769999999,34.700463119744825,32.70652458025517,13.044141594811089,13.50118462351242,0.187,1780.465,1780.278,45.33,39.58,53.50,5.00,0.42,11.931333333333333,11.685,12.434,0.2463333333333324,0.5026666666666664,0.7489999999999988,0.21782485318867242,0.07063698945076341,0.05407078504777338
x7ti,4,OS_R1_bpfland_unknown,x7ti_OS_R1_unknown,OS_R1,6,bpfland,7,0,0,0,0,unknown,18.949784799768963,18.786,19.087,0.053194951417465094,2.3593132027339236,0.7859,4.0759,0.7110797169352747,44.677891007359456,14.953319300000002,76.84294270000001,29.724571707359452,32.16505169264055,13.362019169776076,13.50118462351242,0.071,1341.965,1341.894,31.86,28.63,37.94,2.43,0.42,16.934466666666665,16.712,17.229,0.2224666666666657,0.29453333333333376,0.5169999999999995,0.15933785608245282,0.037548023054563666,0.026775659896778565
x7ti,4,OS_R2_bpfland_unknown,x7ti_OS_R2_unknown,OS_R2,7,bpfland,7,0,0,0,0,unknown,18.90056006548221,18.771,19.084,0.03688280441445457,3.133799417400934,1.4827,4.4033,0.4346125096608311,59.219069541157495,28.1890924,82.8833159,31.029977141157495,23.664246358842504,8.137864733415787,13.50118462351242,0.157,1778.087,1777.93,44.79,43.74,46.31,0.65,0.42,15.625599999999997,15.59,15.69,0.03559999999999697,0.06440000000000268,0.09999999999999964,0.03180251562376775,0.05393749985342987,0.040795315379889424
x7ti,4,OS_R3_bpfland_unknown,x7ti_OS_R3_unknown,OS_R3,8,bpfland,7,0,0,0,0,unknown,18.86962444615681,18.743,19.049,0.034484418799898685,3.589745419957619,1.2862,4.9493,0.41226025566120744,67.72701920643902,24.477672199999997,93.0121949,43.249347006439024,25.285175693560973,7.695668704911913,13.50118462351242,2.427,2035.232,2032.805,51.00,50.31,51.71,0.35,0.42,14.079333333333334,14.028,14.124,0.0513333333333339,0.04466666666666619,0.09600000000000009,0.02212518496021708,0.06846140470756476,0.05155300913869028
